"Polyglot","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_SMOOTH_CAMERA_WARNING","","Smooth camera is expensive and can cause bad performance on some hardware configurations. ","La caméra lisse nécessite une grande puissance de calcul et peut causer des ralentissements sur certaines configurations. ","La cámara suave es costosa y puede causar un mal rendimiento en algunas configuraciones de hardware. ","Ruckelfreie Kamera ist teuer und kann bei einigen Hardware-Konfigurationen zu einer schlechten Performance führen. ","La fotocamera morbido è esosa e può causare pessime prestazioni su alcune configurazioni hardware.","A Câmera Suave é pesada e pode causar mau desempenho em algumas configurações de hardware.","","Плавная потребляет много ресурсов компьютера и может привести к плохой производительности некоторых конфигураций оборудования.","","","","","Jämn kamera är belastande och kan orsaka dålig prestanda på vissa datorkonfigurationer.","De vloeiende camera is zwaar en kan mogelijks slechte prestaties veroorzaken op sommige systemen.","","","スムーズカメラは処理に負担をかけるため、特定のハードウェア設定ではパフォーマンス低下の原因となることがあります。 ","平滑相机将会消耗更多性能并可能在一些硬件配置上导致更差性能表现。","平滑相機將會增加效能負荷並可能在一些硬件設備上導致更差的效能表現。","부드러운 카메라는 자원 소모가 크며 일부 하드웨어 구성에 부정적인 성능을 일으킬 수 있습니다.","","A másodlagos kamera egyes hardverkonfigurációkban rosszabb teljesítményt okozhat.","","","","מצלמה חלקה היא מעוד כבדה ויכולה לגרום למשחק לרוץ בצורה פחות טובה על מחשבים חלשים.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_FIELD_OF_VIEW","","Field Of View","Champ de vision","Campo de Visión","Sichtfeld","Campo Visivo","Campo de Visão","","Угол обзора","","","","","Synfält","Gezichtsveld","","","視野","视野(FOV)","視野大小 (FOV)","FOV(시야각)","","Látómező","","","","גודל זווית הריאה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_SMOOTHNESS","","Smoothness","Lissage","Suavidad","Ruckelfreiheit","Smussamento","Suavidade","","Плавность","","","","","Jämnhet","Vloeiendheid","","","スムーズさ","平滑度","平滑度","부드러움","","Simaság","","","","חלקלקות","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_ON","","On","On","Activar","Ein","On","Ligado","","Вкл","","","","","På","Aan","","","オン","开启","開啟","켬","","Be","","","","פעיל","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_OFF","","Off","Off","Desactivar","Aus","Off","Desligado","","Выкл","","","","","Avancerade Graphics","Uit","","","オフ","关闭","關閉","끔","","Ki","","","","כבוי","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_LOW","","Low","Bas","Bajo","Niedrig","Basso","Baixo","","Низкий","","","","","Låg","Laag","","","低","低","低","낮음","","Alacsony","","","","נמוך","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_HIGH","","High","Haut","Alto","Hoch","Alto","Alto","","Высокий","","","","","Hög","Hoog","","","高","高","高","높음","","Magas","","","","גבוה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_INSTANT","","Instant","Immédiate","Instante","Sofort","Istantaneo","Instantâneo","","Мгновенно","","","","","Direkt","Onmiddellijk","","","瞬時","立即","立即","즉시","","Azonnal","","","","מיידי","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_LONG","","Long","Longue","Largo","Lang","Esteso","Longo","","Долго","","","","","Lång","Lang","","","長い","长按","長按","길게","","Hosszú","","","","ארוך","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_JOYSTICK_SCROLLING","","Enable Joystick Scrolling","Activer le défilement au stick","Activar desplazamiento con Joystick","Thumb-Stick-Scrolling aktivieren","Abilita Scorrimento Joystick","Habilitar rolagem de joystick","","Включить прокрутку джойстиком","","","","","Aktivera joystick scrolling","Scrollen met joystick inschakelen","","","ジョイスティックのスクロールを有効化","启用摇杆滚动","啟用搖桿滾動","조이스틱 스크롤링 사용","","Görgetés joystick-kel","","","","הפעל גלגול בעזרת הג'ויסטיק","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIFFICULTY_EASY","","Easy","Easy","Easy","Easy","Facile","Fácil","","Легко","","","","","Enkelt","Gemakkelijk","","","Easy","简单","Easy","Easy","","Egyszerű","","","","קל","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIFFICULTY_EASY_SHORT","","E","E","E","E","E","F","","Л","","","","","E","E","","","E","易","E","E","","E","","","","ק","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIFFICULTY_NORMAL","","Normal","Normal","Normal","Normal","Normale","Normal","","Нормально","","","","","Normal","Normaal","","","Normal","普通","Normal","Normal","","Közepes","","","","רגיל","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIFFICULTY_NORMAL_SHORT","","N","N","N","N","N","N","","Н","","","","","N","N","","","N","中","N","N","","K","","","","ר","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIFFICULTY_HARD","","Hard","Hard","Hard","Hard","Difficile","Difícil","","Тяжело","","","","","Svår","Moeilijk","","","Hard","困难","Hard","Hard","","Nehéz","","","","קשה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIFFICULTY_HARD_SHORT","","H","H","H","H","H","H","","Т","","","","","S","H","","","H","难","H","H","","N","","","","קש","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIFFICULTY_EXPERT","","Expert","Expert","Expert","Expert","Esperto","Perito","","Эксперт","","","","","Expert","Expert","","","Expert","专家","專家","Expert","","Profi","","","","מומחה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIFFICULTY_EXPERT_SHORT","","X","X","X","X","X","P","","Э","","","","","X","X","","","X","专","X","X","","P","","","","מ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIFFICULTY_EXPERT_PLUS","","Expert+","Expert +","Expert+","Expert+","Esperto+","Perito+","","Эксперт+","","","","","Expert+","Expert+","","","Expert+","专家+","專家+","Expert+","","Profi+","","","","מומחה+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIFFICULTY_EXPERT_PLUS_SHORT","","X+","X+","X+","X+","X+","P+","","Э+","","","","","X+","X+","","","X+","专+","X+","X+","","P+","","","","מ+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIFFICULTY_UNKNOWN","","Unknown","Unknown","Unknown","Unkown","Sconosciuto","Desconhecido","","Неизвестно","","","","","Okänd","Onbekend","","","Unknown","未知","未知","Unknown","","Ismeretlen","","","","לא ידוע","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIFFICULTY_UNKNOWN_SHORT","","/","/","/","/","/","/","","/","","","","","/","/","","","/","/","/","/","","/","","","","/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STAGE_LOCK_HINT","","To continue up you need to finish some levels before this barrier.","Pour progresser, vous devez terminer certains niveaux présents avant cette barrière.","Para continuar, necesitas terminar algunos niveles antes de esta barrera.","Um fortzufahren, musst du vor dieser Barriere ein paar Level beenden.","Per andare avanti devi completare alcuni livelli prima di questa barriera.","Para continuar, você precisa terminar alguns níveis antes desta barreira.","","Для продолжения необходимо завершить некоторые уровни перед этим барьером.","","","","","För att fortsätta måste du klara några nivåer innan den här barriären.","Om door te kunnen gaan, moet je enkele levels voor deze barrière voltooien.","","","続けてプレイするには、このバリアの手前のステージをクリアする必要があります。","您需要完成其他关卡来继续进行游戏。","你需要完成其他關卡來繼續進行遊戲。","이상 계속하려면 이 장벽 전의 레벨을 완료해야 합니다.","","A továbbjutáshoz be kell fejezned néhány alábbi szintet.","","","","כדי להמשך עליכם לסיים כמה שלבים לפני המחסום הזה.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAMPAIGN_MISSION","","Mission","Mission","Misión","Mission","Missione","Missão","","Миссия","","","","","Uppdrag","Missie","","","ミッション","任务","任務","미션","","Küldetés","","","","משימה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAMPAIGN_SONG","","Song
<color=#ffffff88>{0}</color>","Chanson
<color=#ffffff88>{0}</color>","Canción
<color=#ffffff88>{0}</color>","Song
<color=#ffffff88>{0}</color>","Brano
<color=#ffffff88>{0}</color>","Música
<color=#ffffff88>{0}</color>","","Песня
<color=#ffffff88>{0}</color>","","","","","Låt
<color=#ffffff88>{0}</color>","Liedje
<color=#ffffff88>{0}</color>","","","曲
<color=#ffffff88>{0}</color>","歌曲
<color=#ffffff88>{0}</color>","歌曲
<color=#ffffff88>{0}</color>","곡<color=#ffffff88>{0}</color>","","Dal
<color=#ffffff88>{0}</color>","","","","שיר
<color=#ffffff88>{0}</color>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAMPAIGN_DIFFICULTY","","Difficulty
<color=#ffffff88>{0}</color>","Difficulté
<color=#ffffff88>{0}</color>","Dificultad
<color=#ffffff88>{0}</color>","Schwierigkeitsgrad
<color=#ffffff88>{0}</color>","Difficoltà
<color=#ffffff88>{0}</color>","Dificuldade
<color=#ffffff88>{0}</color>","","Сложность
<color=#ffffff88>{0}</color>","","","","","Svårighet
<color=#ffffff88>{0}</color>","Moeilijkheidsgraad
<color=#ffffff88>{0}</color>","","","難易度
<color=#ffffff88>{0}</color>","难度
<color=#ffffff88>{0}</color>","難度
<color=#ffffff88>{0}</color>","난이도
<color=#ffffff88>{0}</color>","","Nehézség
<color=#ffffff88>{0}</color>","","","","רמת קושי
<color=#ffffff88>{0}</color>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAMPAIGN_TYPE","","Type
<color=#ffffff88>{0}</color>","Type
<color=#ffffff88>{0}</color>","Tipo
<color=#ffffff88>{0}</color>","Art
<color=#ffffff88>{0}</color>","Tipo
<color=#ffffff88>{0}</color>","Tipo
<color=#ffffff88>{0}</color>","","Тип
<color=#ffffff88>{0}</color>","","","","","Typ
<color=#ffffff88>{0}</color>","Type
<color=#ffffff88>{0}</color>","","","タイプ
<color=#ffffff88>{0}</color>","类型
<color=#ffffff88>{0}</color>","類型
<color=#ffffff88>{0}</color>","유형
<color=#ffffff88>{0}</color>","","Típus
<color=#ffffff88>{0}</color>","","","","סוג
<color=#ffffff88>{0}</color>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAMPAIGN_MISSION_COMPLETE","","Mission Complete","Mission terminée","Misión Completada","Mission abgeschlossen","Missione completata","Missão Concluída","","Миссия завершена","","","","","Uppdrag klarad","Missie geslaagd","","","ミッション完了","任务完成","任務完成","미션 완료","","Küldetés teljesítve","","","","המשימה הושלמה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAMPAIGN_MISSION_FAILED","","Mission Failed","Mission échouée","Misión Fallida","Mission fehlgeschlagen","Missione Fallita","Missão Falhou","","Миссия провалена","","","","","Uppdrag misslyckad","Missie gefaald","","","ミッション失敗","任务失败","任務失敗","미션 실패","","Küldetés sikertelen","","","","המשימה נכשלה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAMPAIGN_MODIFIERS","","Modifiers","Modificateurs","Modificadores","Modifikatoren","Modificatori","Modificadores","","Модификаторы","","","","","Modifierare","Modifiers","","","ルール変更","修改项","遊戲修改器","모디파이어","","Módosítók","","","","שינויים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAMPAIGN_OBJECTIVES","","Objectives","Objectifs","Objetivos","Ziele","Obiettivi","Objetivos","","Задачи","","","","","Mål","Doelstellingen","","","目標","目标","目標","목표","","Célok","","","","מטרות","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAMPAIGN_CHARACTERISTIC","","characteristic","caractéristiques","característica","charakteristisch","caratteristiche","característica","","характеристика","","","","","Egenskaper","karakteristiek","","","特徴","类型","類型","특징","","jellegzetesség","","","","מאפיין","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAMPAIGN_FINISH_LEVEL","","Finish
Level","Terminer
le niveau","Finalizar
Nivel","Level
beenden","Termina
Livello","Concluir
Nível","","Завершить
уровень","","","","","Klara nivån","Voltooi
level","","","ステージ
を完了","完成
关卡","完成
關卡","레벨
완료하기","","Pálya
befejezése","","","","סיימת
את השלב","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEVEL_NO_ARROWS","","No Arrows","Pas de flèches","Sin Flechas","Keine Pfeile","Nessuna freccia","Sem Flechas","","Без стрелок","","","","","Inga pilar","Geen pijlen","","","矢印なし","无箭头","無箭頭","화살표 없음","","Nyilak nélkül","","","","בלי חיצים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEVEL_NO_ARROWS_HINT","","No Arrows","Pas de flèches","Sin Flechas","Keine Pfeile","Nessuna freccia","Sem Flechas","","Без стрелок","","","","","Inga pilar","Geen pijlen","","","矢印なし","方块上没有箭头","無箭頭","화살표 없음","","Nyilak nélkül","","","","בלי חיצים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEVEL_ONE_SABER","","One Saber","Un sabre","Un Sable","Ein Säbel","Una Spada","Um Sabre","","Один меч","","","","","En saber","Enkele saber","","","サーベル1本","单手剑","單手劍","한손모드","","Egykezes","","","","חרב אחת","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEVEL_ONE_SABER_HINT","","One Saber","Un sabre","Un Sable","Ein Säbel","Una Spada","Um Sabre","","Один меч","","","","","En saber","Enkele saber","","","サーベル1本","只使用一把光剑","單手劍","세이버 하나로만 플레이합니다","","Egykezes","","","","חרב אחת","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEVEL_STANDARD","","Standard","Standard","Estándar","Standard","Standard","Padrão","","Обычный","","","","","Standard","Standaard","","","標準","普通模式","標準模式","표준","","Általános","","","","רגיל","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEVEL_STANDARD_HINT","","Standard","Standard","Estándar","Standard","Standard","Padrão","","Обычный","","","","","Standard","Standaard","","","標準","普通模式","標準模式","표준","","Általános","","","","רגיל","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROMPT_INFORMATION","","Information","Informations","Información","Information","Informazione","Informação","","Информация","","","","","Information","Informatie","","","情報","提示","訊息","정보","","Információ","","","","מידע","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROMPT_HAVENT_PLAYED_YET","","It looks like you haven't played Beat Saber yet. Would you like to play tutorial first?","Vous n'avez apparemment pas encore joué à Beat Saber. Voulez-vous commencer par le didacticiel ?","Parece que aún no has jugado Beat Saber. ¿Te gustaría jugar primero el tutorial?","Anscheinend hast du Beat Saber noch nicht gespielt. Möchtest du zunächst das Tutorial spielen?","Sembra che tu non abbia mai giocato a Beat Saber. Vuoi prima giocare al tutorial?","Parece que você nunca jogou Beat Saber. Gostaria de reproduzir o tutorial primeiro?","","Похоже, вы еще не играли в Beat Saber. Не хотите сперва пройти обучение?","","","","","Det verkar som du inte har spelat Beat Saber förut. Vill du spela en tutorial först?","Het lijkt erop dat je nog nooit Beat Saber hebt gespeeld. Wil je eerst de tutorial spelen?","","","Beat Saberを始めてプレイするようだね。チュートリアルを先にプレイするかい？","看起来您还没有游玩过节奏光剑。是否开始新手教程？","你看起來沒玩過節奏光劍, 是否開始新手教學?","Beat Saber를 처음 플레이하시는 것 같습니다. 먼저 튜토리얼을 플레이하시겠습니까?","","Úgy tűnik, még nem játszottál a Beat Saber-rel. Szeretnél először megismerkedni az alapokkal?","","","","זה נראה שאתם לא שחקתם ביט סייבר מקודם. האם תרצו לשחק את ההדרכה?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROMPT_YES","","Yes","Oui","Sí","Ja","Sì","Sim","","Да","","","","","Ja","Ja","","","はい","是","是","네","","Igen","","","","כן","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROMPT_NO","","No","Non","No","Nein","No","Não","","Нет","","","","","Nej","Nee","","","いいえ","否","否","아니요","","Nem","","","","לא","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RESULTS_LEVEL_FAILED","","Level Failed","Niveau échoué","Nivel fallido","Level fehlgeschlagen","Livello Fallito","Nível Falhou","","Уровень не пройден","","","","","Nivå misslyckad","Level gefaald","","","ステージ失敗","关卡失败","關卡失敗","레벨 실패","","Pálya sikertelen","","","","שלב נכשל","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBJECTIVE_BAD_CUTS","","Bad Cuts","Mauvais coups","Malos Cortes","Schlechte Schläge","Tagli Errati","Cortes Ruins","","Плохие разрезы","","","","","Dåliga skärningar","Slechte Cuts","","","悪いカット","错误挥砍","不良揮砍","배드 컷","","Helytelen vágás","","","","חיתוכים מעפנים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBJECTIVE_COMBO","","Combo","Combo","Combo","Kombo","Combo","Combo","","Комбо","","","","","Kombo","Combo","","","Combo","连击数","連擊數","Combo","","Kombó","","","","רצף","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBJECTIVE_FULL_COMBO","","Full Combo","Combo total","Combo completo","Volle Kombo","Full Combo","Combo Completo","","Полное комбо","","","","","Full combo","Volledige Combo","","","フルCombo","全连","全接","풀 Combo","","Teljes kombó","","","","ללא פספוסים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBJECTIVE_HANDS_MOVEMENT","","Hands Movement","Mouvements des mains","Movimiento de Manos","Händebewegungen","Movimento Mani","Movimento das Mãos","","Движение рук","","","","","Handmotion","Beweeg handen","","","手の動き","手部挥动距离","手部移動","손 움직임","","Kézmozgás","","","","תזוזת הידיים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBJECTIVE_MISS","","Miss","Miss","Miss","Miss","Mancato","Perdido","","Промахи","","","","","Missad","Gemist","","","Miss","遗漏","Miss","Miss","","Kihagyás","","","","פספוס","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBJECTIVE_SCORE","","Score","Score","Puntuación","Punkte","Punteggio","Pontuação","","Счёт","","","","","Pöang","Score","","","スコア","分数","分數","스코어","","Pontszám","","","","תוצאה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MISSION_NEW_OBJECTIVE_TITLE","","New Objective","Nouvel objectif","Nuevo Objetivo","Neues Ziel","Nuovo obiettivo","Novo Objetivo","","Новая задача","","","","","Ny Mål","Nieuw doel","","","新しい目標","新目标","新目標","새 목표","","Új cél","","","","משימה חדשה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MISSION_HELP_MIN_SCORE_TITLE","","In this mission your score must be higher than the specified minimum.","Dans cette mission, votre score doit être supérieur au minimum indiqué.","En esta misión, tu puntuación debe ser mayor al mínimo especificado.","In dieser Mission müssen deine Punkte höher als das angegebene Minimum sein.","In questa missione il tuo punteggio deve essere superiore al minimo specificato.","Nesta missão, sua pontuação deve ser maior do que o mínimo especificado.","","В этой миссии ваш счёт должен быть выше, чем указанный минимум.","","","","","I detta uppdrag måste dina poäng vara högre än det angivna minimum.","In deze missie moet je hoger scoren dan de minimum score.","","","このミッションでは、決まった最少スコアよりも高いスコアを獲得する必要があります。","该任务要求您的分数超过最低规定分数","在這任務你的分數必須達到最低分數","이 미션에서는 정해진 최소 점수보다 높은 점수를 획득해야 합니다.","","Ebben a küldetésben a pontszámodnak meg kell haladnia a megadott minimum határt.","","","","במשימה הזאת אתם תצטרכו להשיג תוצאה יותר גבוה יותר מהמינימום המודגש.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MISSION_HELP_MAX_BAD_CUTS_TITLE","","In this mission you can make only limited amount of mistakes (<color=#ffffff88>BAD CUTS</color> and <color=#ffffff88>MISSED</color> notes)","Dans cette mission, vous n'avez droit qu'à une certaine quantité d'erreurs (<color=#ffffff88>MAUVAIS COUPS</color> et notes <color=#ffffff88>RATÉES</color>)","En esta misión, solamente puedes cometer un número limitado de errores (<color=#ffffff88>MALOS CORTES</color> y notas <color=#ffffff88>FALLIDAS</color>)","In dieser Mission kannst du nur eine begrenzte Anzahl von Fehlern machen (<color=#ffffff88>SCHLECHTE SCHLÄGE</color> und <color=#ffffff88>VERFEHLTE</color> Noten)","In questa missione puoi fare solo una quantità limitata di errori (<color=#ffffff88>BAD CUTS</color> e <color=#ffffff88>MISSED</color> note)","Nesta missão, você só pode cometer uma quantidade limitada de erros (notas<color=#ffffff88>CORTES RUINS</color> e <color=#ffffff88>PERDAS</color>)","","В этой миссии вы можете сделать лишь ограниченное количество ошибок (<color=#ffffff88>ПЛОХИЕ РАЗРЕЗЫ</color> и <color=#ffffff88>ПРОПУЩЕНО</color> нот)","","","","","I detta uppdrag kan du bara göra ett begränsad antal misstag (<color=#ffffff88>BAD CUTS</color> och <color=#ffffff88>MISSED</color> notes)","Bij deze missie kan je slechts een beperkte aantal fouten maken (<color=#ffffff88>SLECHTE CUTS</color> en <color=#ffffff88>GEMISTE</color> noten)","","","このミッションでは、ミス（<color=#ffffff88>悪いカット</color>と<color=#ffffff88>ミス</color>した音符）の数に上限があります。
","该任务要求您只能出现一定数量的失误(<color=#ffffff88>错误挥砍</color>和<color=#ffffff88>遗漏</color> 音符)","在這任務你只能失誤指定數量(<color=#ffffff88>不好揮砍</color> 和 <color=#ffffff88>失誤</color> 音符)","이 미션에서는 정해진 횟수 이상 실수(<color=#ffffff88>배드 컷</color> 및 <color=#ffffff88>미스</color>)를 하면 안 됩니다","","Ebben a küldetésben csak korlátozott mennyiségű hibát (<color=#ffffff88>HELYTELEN VÁGÁS</color> és <color=#ffffff88>KIHAGYOTT</color> hangjegyek) követhetsz el","","","","במשימה הזאת יש לכם כמות מוקבלת של טעויות (<color=#ffffff88>חיתוכים מעפנים</color>על קוביות ו<color=#ffffff88>פספוס</color> קוביות)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MISSION_HELP_MIN_COMBO_TITLE","","In this mission you must reach specified <color=#ffffff88>combo</color> number.","Dans cette mission, vous devez atteindre le <color=#ffffff88>combo</color> spécifié.","En esta misión debes alcanzar un número específico de <color=#ffffff88>combos</color>.","In dieser Mission müssen Sie die angegebene <color=#ffffff88>Kombo</color> erreichen.","In questa missione è necessario raggiungere il numero <color=#ffffff88>combo</color> specificato.","Nessa missão você deve alcançar o número específico de <color=#ffffff88>combo</color>.","","В этой миссии вы должны дойти до определенного <color=#ffffff88>комбо</color>.","","","","","I detta uppdrag måste du nå ett specificerat antal <color=#ffffff88>combo</color>.","In deze missie moet je de aangegeven <color=#ffffff88>combo</color> behalen.","","","このミッションでは決まった<color=#ffffff88>combo</color>数に到達する必要があります。","该任务要求你达到一定的<color=#ffffff88>连击数</color>。","在這任務你必須達到指定的<color=#ffffff88>連擊數</color>","이번 미션에서는 지정된 횟수의 <color=#ffffff88>Combo</color>를 수행해야 합니다.","","Ebben a küldetésben el kell érned a megadott <color=#ffffff88>kombót</color>.","","","","במשימה הזאת אתם צריכים להגיע למספר ה<color=#ffffff88>רצף</color> המודגש.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MISSION_HELP_MIN_HANDS_MOVEMENT_TITLE","","In this mission your goal is to move your <color=#FFFFFF88>hands</color> enough to travel the <color=#FFFFFF88>specified MINIMUM distance.</color>","Dans cette mission, vous devez bouger vos <color=#FFFFFF88>mains</color> de manière à couvrir la <color=#FFFFFF88>distance MINIMALE indiquée.</color>","En esta misión, tu meta es mover tus <color=#FFFFFF88>manos</color> lo suficiente para desplazarte la <color=#FFFFFF88>distancia MÍNIMA específica.</color>","In dieser Mission ist das Ziel, deine <color=#FFFFFF88>Hände</color> so sehr zu bewegen, dass sie die <color=#FFFFFF88>angegebene MINDESTdistanz</color> zurücklegen.","In questa missione il tuo obiettivo è quello di spostare le tue <color=#FFFFFF88>mani</color> abbastanza per viaggiare la <color=#FFFFFF88>distanza MINIMA specificata</color>.","Nesta missão, seu objetivo é mover suas <color=#FFFFFF88>mãos</color> o suficiente para percorrer a <color=#FFFFFF88>distância MÍNIMA</color> especificada.","","В этой миссии ваша цель - двигать <color=#FFFFFF88>руками</color>, для достижения <color=#FFFFFF88>указанного минимального расстояния</color>.","","","","","I detta uppdrag är ditt mål att flytta dina <color=#FFFFFF88>händer</color> tillräckligt för att röra <color=#FFFFFF88>angivna MINIMUM avstånd</color>.","In deze missie is het je doel om je <color=#FFFFFF88>handen</color> genoeg te bewegen om de <color=#FFFFFF88>aangegeven MINIMALE afstand</color> te behalen.","","","このミッションでは、<color=#FFFFFF88>手</color>を<color=#FFFFFF88>決まった最少距離</color>以上、動かすことをが目標です。","该任务中你的目标是挥动你的<color=#FFFFFF88>双手</color>以达到<color=#FFFFFF88>最低移动距离</color>。","在這任務你的目標是揮舞你的<color=#FFFFFF88>雙手</color>以達到<color=#FFFFFF88>最低移動距離</color>。","이번 미션의 목표는 <color=#FFFFFF88>손</color>을 <color=#FFFFFF88>지정된 최소 거리</color> 이상 움직이는 것입니다.","","Ebben a küldetésben a <color=#FFFFFF88>kezeidet</color> mozgatnod kell <color=#FFFFFF88>minimum</color> távolságra.","","","","במשימה הזאת המטרה שלכם היא להזיז את ה<color=#FFFFFF88>ידיים</color>שלכם מספיק כדי שהם זזו את ה<color=#FFFFFF88>מרחק המודגש</color>.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MISSION_HELP_MAX_HANDS_MOVEMENT_DESCRIPTION","","Try to limit your movement as much as possible.","Essayez de limiter vos mouvements autant que possible.","Intenta limitar tu movimiento lo máximo posible.","Versuche, deine Bewegung so weit wie möglich einzuschränken.","Cerca di limitare il più possibile il tuo movimento.","Tente limitar seu movimento o máximo possível.","","Постарайтесь максимально ограничить ваше движение.","","","","","Försök att begränsa dina rörelser så mycket som möjligt.","Probeer zo min mogelijk te bewegen.","","","動きをできる限り制限しましょう。","尝试更小幅度地挥动你的双手","嘗試以更小幅度地揮動你的雙手","최대한 움직임을 줄이도록 노력하세요.","","Próbáld meg korlátozni a mozgásod, amennyire csak lehetséges.","","","","תנסו להגביל את התזוזה שלכם כמה שאפשר.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
